country,total_vaccinations,amount_of_days
Afghanistan,422200.0,59
Albania,11295390.0,59
Algeria,75030.0,59
Andorra,185420.0,59
Angola,1551757.0,59
Anguilla,35813.0,59
Antigua and Barbuda,244532.0,59
Argentina,312899533.0,59
Armenia,565.0,59
Aruba,1410382.0,59
Australia,61407460.0,59
Austria,141234139.0,59
Azerbaijan,47340398.0,59
Bahamas,81209.0,59
Bahrain,54660409.0,59
Bangladesh,255177494.0,59
Barbados,3634823.0,59
Belarus,565106.0,59
Belgium,171414770.0,59
Belize,629170.0,59
Bermuda,450202.0,59
Bhutan,16938353.0,59
Bolivia,20569170.0,59
Bosnia and Herzegovina,121464.0,59
Botswana,279510.0,59
Brazil,1543410019.0,59
Brunei,13378.0,59
Bulgaria,37261384.0,59
Cambodia,66175071.0,59
Cameroon,400.0,59
Canada,514870430.0,59
Cape Verde,2184.0,59
Cayman Islands,1178876.0,59
Chile,723834607.0,59
China,8344416700.0,59
Colombia,133965768.0,59
Congo,14297.0,59
Costa Rica,6087068.0,59
Cote d'Ivoire,3301946.0,59
Croatia,28433660.0,59
Curacao,2053577.0,59
Cyprus,2471508.0,59
Czechia,142471119.0,59
Democratic Republic of Congo,1700.0,59
Denmark,97960690.0,59
Djibouti,10246.0,59
Dominica,256091.0,59
Dominican Republic,26573259.0,59
Ecuador,18628959.0,59
Egypt,825849.0,59
El Salvador,11122382.0,59
England,2441464054.0,59
Equatorial Guinea,242442.0,59
Estonia,21925355.0,59
Eswatini,214375.0,59
Ethiopia,9570356.0,59
Faeroe Islands,336900.0,59
Falkland Islands,14163.0,59
Fiji,83705.0,59
Finland,69978653.0,59
France,945621268.0,59
Gabon,35546.0,59
Gambia,55676.0,59
Georgia,627577.0,59
Germany,1263980973.0,59
Ghana,8090394.0,59
Gibraltar,3360503.0,59
Greece,128107270.0,59
Greenland,210683.0,59
Grenada,163557.0,59
Guatemala,6231028.0,59
Guernsey,239985.0,59
Guinea,1923281.0,59
Guyana,465394.0,59
Honduras,229155.0,59
Hong Kong,44653743.0,59
Hungary,224068420.0,59
Iceland,2693554.0,59
India,5251824287.0,59
Indonesia,603283244.0,59
Iran,7082989.0,59
Iraq,872007.0,59
Ireland,62730567.0,59
Isle of Man,3023559.0,59
Israel,926114739.0,59
Italy,896469189.0,59
Jamaica,330241.0,59
Japan,53235672.0,59
Jersey,1145957.0,59
Jordan,5680791.0,59
Kazakhstan,11260829.0,59
Kenya,4132378.0,59
Kosovo,52132.0,59
Kuwait,4942361.0,59
Kyrgyzstan,31451.0,59
Laos,1169190.0,59
Latvia,12639574.0,59
Lebanon,14526323.0,59
Lesotho,16000.0,59
Libya,750.0,59
Liechtenstein,474188.0,59
Lithuania,44882885.0,59
Luxembourg,5631675.0,59
Macao,3864618.0,59
Malawi,5806227.0,59
Malaysia,45041178.0,59
Maldives,17086238.0,59
Mali,76772.0,59
Malta,15321413.0,59
Mauritania,11334.0,59
Mauritius,121373.0,59
Mexico,636784330.0,59
Moldova,2531901.0,59
Monaco,103946.0,59
Mongolia,19323761.0,59
Montenegro,1894917.0,59
Montserrat,8092.0,59
Morocco,429765576.0,59
Mozambique,103744.0,59
Myanmar,1423800.0,59
Namibia,116138.0,59
Nauru,868.0,59
Nepal,40616632.0,59
Netherlands,54394479.0,59
New Zealand,6972812.0,59
Nicaragua,196755.0,59
Niger,1366.0,59
Nigeria,24053809.0,59
North Macedonia,827823.0,59
Northern Cyprus,435770.0,59
Northern Ireland,75593468.0,59
Norway,81772988.0,59
Oman,4267797.0,59
Pakistan,9721131.0,59
Palestine,3906726.0,59
Panama,21939114.0,59
Papua New Guinea,4231.0,59
Paraguay,3306730.0,59
Peru,70932451.0,59
Philippines,30138800.0,59
Poland,387842027.0,59
Portugal,151145030.0,59
Qatar,53080326.0,59
Romania,261215510.0,59
Russia,703724834.0,59
Rwanda,8193046.0,59
Saint Helena,14739.0,59
Saint Kitts and Nevis,81033.0,59
Saint Lucia,531942.0,59
Saint Vincent and the Grenadines,138635.0,59
Samoa,13315.0,59
San Marino,582325.0,59
Sao Tome and Principe,13689.0,59
Saudi Arabia,336738113.0,59
Scotland,231741712.0,59
Senegal,14142101.0,59
Serbia,137440327.0,59
Seychelles,3331298.0,59
Sierra Leone,430417.0,59
Singapore,13123706.0,59
Slovakia,79491312.0,59
Slovenia,31642603.0,59
Solomon Islands,6890.0,59
Somalia,117567.0,59
South Africa,8641830.0,59
South Korea,87883635.0,59
South Sudan,947.0,59
Spain,510256780.0,59
Sri Lanka,40784952.0,59
Sudan,347196.0,59
Suriname,637959.0,59
Sweden,32516072.0,59
Switzerland,119916806.0,59
Syria,2500.0,59
Taiwan,1193094.0,59
Thailand,28994718.0,59
Timor,2629.0,59
Togo,384845.0,59
Tonga,5867.0,59
Trinidad and Tobago,689596.0,59
Tunisia,7266052.0,59
Turkey,1211611355.0,59
Turks and Caicos Islands,49339.0,59
Uganda,5718815.0,59
Ukraine,18455364.0,59
United Arab Emirates,713129285.0,59
United Kingdom,2899534964.0,59
United States,12483088371.0,59
Uruguay,55504975.0,59
Uzbekistan,2379663.0,59
Venezuela,374574.0,59
Vietnam,4815258.0,59
Wales,146605289.0,59
Zambia,322674.0,59
Zimbabwe,12162705.0,59
